names	celltype
PZ-MB-gastd7-TCHIC-rep1-H3K27me3-4_265	PGCs
PZ-MB-gastd5-TChIC-rep1-H3K27me3-3_265	Tailbud
PZ-MB-gastd5-TChIC-rep1-H3K27me3-4_265	Tailbud
PZ-MB-gastd6-TChIC-rep1-H3K27me3-2_265	NeuralTube_Somites
PZ-MB-gastd6-TChIC-rep1-H3K27me3-3_265	0
PZ-MB-gastd6-TChIC-rep1-H3K27me3-4_265	PGCs
PZ-MB-gastd7-TChIC-rep1-H3K27me3-1_265	Somite_wavefront
PZ-MB-gastd7-TChIC-rep1-H3K27me3-2_265	10
PZ-MB-gastd7-TChIC-rep1-H3K27me3-3_265	3
PZ-MB-gastd5-TChIC-rep1-H3K4me3-2_265	0
PZ-MB-gastd5-TChIC-rep1-H3K4me3-3_265	Mesoderm_heart
PZ-MB-gastd6-TChIC-rep1-H3K4me3-1_265	Mesoderm_heart
PZ-MB-gastd6-TChIC-rep1-H3K4me3-2_265	12
PZ-MB-gastd6-TChIC-rep1-H3K4me3-3_265	9
PZ-MB-gastd7-TChIC-rep1-H3K4me3-1_265	3
PZ-MB-gastd7-TChIC-rep1-H3K4me3-4_265	Neural_tube_2
PZ-MB-gastd5-TCHIC-rep1-H3K27ac-1_382	Mesoderm_heart
PZ-MB-gastd5-TCHIC-rep1-H3K4me1-1_382	Mesoderm_heart
PZ-MB-gastd5-TCHIC-rep1-H3K4me3-4_382	0
PZ-MB-gastd5-TCHIC-rep1-H3K27me3-1_382	Mesoderm_heart
PZ-MB-gastd6-TCHIC-rep1-H3K27me3-1_382	10
PZ-MB-gastd7-TCHIC-rep1-H3K27me3-4_382	Somite_wavefront
PZ-MB-gastd5-TChIC-rep1-H3K27me3-2_382	12
PZ-MB-gastd5-TChIC-rep1-H3K27me3-3_382	Mesoderm_heart
PZ-MB-gastd5-TChIC-rep1-H3K27me3-4_382	Mesoderm_heart
PZ-MB-gastd6-TChIC-rep1-H3K27me3-2_382	3
PZ-MB-gastd6-TChIC-rep1-H3K27me3-3_382	NeuralTube_Somites
PZ-MB-gastd6-TChIC-rep1-H3K27me3-4_382	Neural_tube_2
PZ-MB-gastd7-TChIC-rep1-H3K27me3-1_382	NeuralTube_Somites
PZ-MB-gastd7-TChIC-rep1-H3K27me3-2_382	3
PZ-MB-gastd5-TChIC-rep1-H3K4me3-2_382	Mesoderm_heart
PZ-MB-gastd5-TChIC-rep1-H3K4me3-3_382	2
PZ-MB-gastd6-TChIC-rep1-H3K4me3-1_382	NeuralTube_Somites
PZ-MB-gastd6-TChIC-rep1-H3K4me3-2_382	0
PZ-MB-gastd6-TChIC-rep1-H3K4me3-4_382	9
PZ-MB-gastd7-TChIC-rep1-H3K4me3-1_382	Neural_tube_2
PZ-MB-gastd7-TChIC-rep1-H3K4me3-2_382	Neural_tube_2
PZ-MB-gastd7-TChIC-rep1-H3K4me3-3_382	NeuralTube_Somites
PZ-MB-gastd7-TChIC-rep1-H3K4me3-4_382	3
PZ-MB-gastd5-TCHIC-rep1-H3K27ac-1_29	Mesoderm_heart
PZ-MB-gastd6-TCHIC-rep1-H3K27me3-1_29	NeuralTube_Somites
PZ-MB-gastd7-TCHIC-rep1-H3K27me3-4_29	NeuralTube_Somites
PZ-MB-gastd5-TChIC-rep1-H3K27me3-2_29	0
PZ-MB-gastd5-TChIC-rep1-H3K27me3-3_29	0
PZ-MB-gastd5-TChIC-rep1-H3K27me3-4_29	0
PZ-MB-gastd6-TChIC-rep1-H3K27me3-2_29	2
PZ-MB-gastd6-TChIC-rep1-H3K27me3-3_29	2
PZ-MB-gastd6-TChIC-rep1-H3K27me3-4_29	Endoderm_node
PZ-MB-gastd7-TChIC-rep1-H3K27me3-1_29	NeuralTube_Somites
