	NeuralTube_Somites_n	NeuralTube_Somites_p	NeuralTube_Somites_s
28995	Slc3a2	6.188397456520115e-60	-16.600145
28994	Rpa1	1.1712596130414174e-59	-16.561623
28993	Pold1	1.333110692018586e-59	-16.553652
127	Herc1	4.35233887193009e-59	16.482098
128	Ncstn	4.3667273628452365e-59	16.481714
28992	Exosc7	7.304648892662355e-59	-16.450401
129	Klhl24	1.0653799152306284e-58	16.427345
130	Slit2	1.1803188414393808e-58	16.42095
28991	Cse1l	1.9645666932859307e-58	-16.389826
28990	Fus	2.799260292171428e-58	-16.368107
28989	Cdk4	2.9950558311630558e-58	-16.363811
131	Hook3	3.1374085773311697e-58	16.360804
28988	Pmf1	3.3306058697100515e-58	-16.356985
28987	Hnrnpdl	4.768541541563194e-58	-16.33493
28986	Hes3	6.665879958536371e-58	-16.31431
28985	Igf2bp1	1.051209612733369e-57	-16.28629
28984	Tomm7	1.0663024347846563e-57	-16.28524
28983	Sdc1	1.1387714634490928e-57	-16.281038
28982	Cct8	3.2990484287743517e-57	-16.215643
28981	Dhcr24	3.745182290032662e-57	-16.20767
28980	Prmt5	5.50470920110208e-57	-16.183804
132	Lhx1	1.1252677333561262e-56	16.139553
28979	Sf3b5	1.1608877329328071e-56	-16.137453
133	Npr2	1.5395758952705384e-56	16.119839
134	Nrp2	2.0239287148843563e-56	16.10275
135	Ago1	2.0432648991787705e-56	16.101986
28978	Snx5	2.07717440659448e-56	-16.100794
28977	Celsr1	2.4982661600700127e-56	-16.089193
136	Apc	2.6031566800484475e-56	16.086472
28976	Mrfap1	2.998237588173424e-56	-16.077547
28975	Ddx21	3.695079914263477e-56	-16.064419
28974	Sub1	4.060015411295867e-56	-16.058405
28973	Dhfr	4.484950521856998e-56	-16.052055
28972	Uqcrq	5.124662126361951e-56	-16.043608
28971	Snrnp40	7.16598408518205e-56	-16.022604
137	Slco5a1	9.631944252553589e-56	16.004034
28970	Snrpd2	1.1510512655841173e-55	-15.992769
28969	Nop58	1.4645137730516108e-55	-15.97759
28968	Ppil1	3.6321624443207535e-55	-15.920691
28967	Eif3b	3.7202887760064226e-55	-15.91902
28966	Psme3	3.848544594259174e-55	-15.916728
28965	Usp10	3.891172641926952e-55	-15.915869
138	Tnrc6b	4.4822116681929665e-55	15.906847
139	Gfra1	4.787527020438548e-55	15.902551
28964	Nop10	5.7543946747879155e-55	-15.890856
140	C530008M17Rik	7.828668195139083e-55	15.87138
28963	Rad23b	1.3029850149132165e-54	-15.839207
28962	Cct4	1.8547337901623678e-54	-15.816819
28961	Gpd2	2.0382345308761754e-54	-15.81071
141	Cpeb4	2.065432092917901e-54	15.809707
28960	Sfrp1	3.1428019650900405e-54	-15.7830715
28959	Pold3	3.3629147489382615e-54	-15.778632
28958	Cad	5.932516365188712e-54	-15.742592
28957	Ddx39b	8.522590717497637e-54	-15.719489
28956	Phf5a	1.289863370102391e-53	-15.693044
28955	Umps	1.815125156376009e-53	-15.671182
142	Ebf2	1.8433270461468495e-53	15.670035
28954	Spata13	1.9406816227790412e-53	-15.666598
28953	Usp1	2.122902075338811e-53	-15.6607275
28952	Gart	2.5928854038748874e-53	-15.647839
28951	Atad2	2.840326934039552e-53	-15.641872
28950	Snrpf	3.286221843732996e-53	-15.632421
143	Ogt	6.446606453163194e-53	15.589269
144	Setbp1	6.575874509988609e-53	15.587836
145	4930402H24Rik	7.078396745152113e-53	15.582968
28949	Rrs1	1.0739096794558025e-52	-15.556141
28948	Sox13	1.0880878740025606e-52	-15.555139
146	Nf1	1.232870354523165e-52	15.546976
147	Cacna1b	2.9405673313984113e-52	15.491031
