,QC,enrichment,coverage
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_274,good,91.37134052388292,31.856
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_201,good,88.35389708095094,30.602
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_59,good,79.24767540152155,30.544
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_159,good,84.6790890269151,24.594
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_18,good,84.60122699386504,27.478
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_277,good,80.55363321799308,28.278
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_323,good,94.311377245509,25.792
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_257,good,85.56461001164145,31.4
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_126,good,86.30009319664492,23.222
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_35,good,88.37837837837836,22.406
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_28,good,92.28571428571428,31.272
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_129,good,82.77511961722487,28.406
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_292,good,80.42977743668456,27.700000000000003
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_304,good,90.0,28.744
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_213,good,85.71428571428571,29.334
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_43,bad,56.50862068965517,30.28
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_355,good,88.09523809523809,28.536
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_181,bad,56.91282620766241,28.086
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_102,good,87.69657724329325,25.048
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_281,good,87.02088289717156,26.0
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_140,good,91.83098591549296,27.126
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_117,good,87.12942877801882,30.832
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_155,good,82.20064724919094,28.376
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_359,good,84.77987421383648,29.832
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_114,good,86.72294704528014,27.676
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_107,bad,64.64471403812826,31.02
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_191,good,87.37343656938654,26.044
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_176,good,82.85922684172138,27.728
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_170,good,77.6629176314919,27.296
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_260,good,86.14609571788414,27.72
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_231,good,85.21505376344088,29.988
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_55,good,67.45647969052226,35.968
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_199,good,89.90182328190743,30.198000000000004
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_187,bad,39.97280761386811,27.376
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_52,good,88.2907133243607,27.198
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_214,good,88.13962713209045,25.248
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_32,good,80.92956396741732,27.416
