index,pseudotime,pseudotime2
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_233,31.651424,15.750909
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_123,31.786474,16.121008
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_140,34.36784,19.641613
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_260,34.0075,19.168886
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_187,30.87829,14.988089
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_231,33.697098,18.885628
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_280,40.88664,31.363422
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_256,31.375387,15.354438
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_122,32.48116,17.057932
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_115,32.36516,17.252638
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_176,27.182432,0.49272695
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_139,32.23233,16.772654
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_317,33.63625,18.476763
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_22,29.658714,13.242727
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_199,30.414032,14.165239
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_214,29.658741,13.232592
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_178,31.4521,15.681997
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_175,33.269352,18.396267
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_311,34.541164,20.004887
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_63,29.250702,12.920215
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_334,31.781424,16.069315
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_10,32.68515,17.531086
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_4,44.81493,36.73798
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_253,28.249454,11.372061
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_255,29.68219,13.242073
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_170,31.224388,15.528509
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_116,30.78076,14.458799
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_259,30.825401,14.5513115
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_327,29.877216,13.425265
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_191,36.288815,23.426073
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_162,32.799713,17.166174
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_275,33.604015,18.721363
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_264,31.06809,15.523603
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_369,31.969473,16.577223
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_14,29.926947,13.765554
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_329,32.009415,16.33619
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_326,30.991156,15.3918085
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_117,32.975784,18.131973
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_174,12.953522,16.459301
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_249,30.554459,14.152222
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_151,51.212276,42.887558
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_322,31.319115,15.27039
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_180,31.820896,16.129866
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_302,33.30093,18.11002
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_226,34.814915,21.566938
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_368,33.758663,18.93179
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_310,33.810013,19.147047
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_206,31.379927,15.420872
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_34,33.274727,18.336777
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_263,36.95623,24.542727
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_87,34.99548,20.285463
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_5,19.202673,11.522346
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_284,53.049736,45.15038
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_383,32.34907,17.203966
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_345,28.923828,11.96537
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_269,33.050583,18.177095
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_303,31.908094,16.037617
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_350,29.728111,13.263138
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_362,28.041454,9.624904
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_33,32.644287,17.504515
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_134,32.914192,17.667097
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_351,29.65461,13.260785
